iter	Logloss
0	0.5988691837
1	0.5049318027
2	0.4323637027
3	0.380627822
4	0.3377874111
5	0.305741241
6	0.2788818646
7	0.2610340159
8	0.2472911906
9	0.2354362169
10	0.2244113443
11	0.2175247039
12	0.2115898061
13	0.2075275001
14	0.2013258526
15	0.1982943532
16	0.1942647531
17	0.1921569289
18	0.1901838259
19	0.1886285761
20	0.1864816577
21	0.1848517543
22	0.1829131071
23	0.1816656607
24	0.1786987977
25	0.1773317706
26	0.1761445149
27	0.1750452182
28	0.1741757535
29	0.1734126787
30	0.1727450622
31	0.1716885058
32	0.1710290474
33	0.1703868746
34	0.1696467585
35	0.1688579979
36	0.1684092953
37	0.1672583361
38	0.1664269792
39	0.1662738848
40	0.1657228262
41	0.1655861586
42	0.1647639243
43	0.1635113831
44	0.162325833
45	0.1622258896
46	0.1615537409
47	0.1612648618
48	0.1611524706
49	0.1609712858
50	0.1608576245
51	0.1607563707
52	0.1606443001
53	0.1600654615
54	0.159968303
55	0.1598738682
56	0.159776089
57	0.1588441079
58	0.1587548863
59	0.1586672888
60	0.1585818263
61	0.1584984778
62	0.157823337
63	0.1571663072
64	0.1570836834
65	0.1561914331
66	0.1561117183
67	0.156033757
68	0.1559582234
69	0.1556146388
70	0.1555418972
71	0.1549347066
72	0.1548637096
73	0.1545505246
74	0.1544821878
75	0.1539079472
76	0.1532145158
77	0.1529234507
78	0.1526526353
79	0.1523996606
80	0.1523370344
81	0.1514029274
82	0.1513422039
83	0.1512830789
84	0.1511404665
85	0.1508865874
86	0.1507377625
87	0.1497713932
88	0.1496358186
89	0.14941683
90	0.1492918074
91	0.1478621108
92	0.1477452559
93	0.1465562939
94	0.145902961
95	0.1453026162
96	0.1450983901
97	0.1448915935
98	0.144633169
99	0.1445272823
