iter	Passed	Remaining
0	141	13965
1	143	7010
2	144	4657
3	144	3474
4	145	2769
5	146	2295
6	147	1957
7	148	1704
8	149	1508
9	149	1349
10	150	1220
11	151	1111
12	152	1020
13	153	940
14	154	873
15	155	813
16	155	760
17	156	713
18	157	671
19	158	633
20	159	598
21	159	567
22	160	538
23	161	511
24	162	487
25	163	464
26	164	443
27	164	423
28	165	405
29	166	388
30	167	372
31	168	357
32	169	344
33	170	330
34	170	317
35	171	305
36	172	293
37	172	282
38	173	271
39	174	261
40	175	252
41	176	243
42	176	234
43	177	225
44	178	217
45	178	210
46	179	202
47	180	195
48	181	188
49	181	181
50	182	175
51	183	169
52	183	163
53	184	157
54	185	151
55	186	146
56	186	140
57	187	135
58	188	130
59	189	126
60	190	121
61	190	116
62	193	113
63	194	109
64	195	105
65	196	101
66	197	97
67	198	93
68	200	89
69	201	86
70	202	82
71	203	79
72	204	75
73	205	72
74	206	68
75	207	65
76	209	62
77	211	59
78	212	56
79	214	53
80	215	50
81	219	48
82	220	45
83	221	42
84	222	39
85	224	36
86	225	33
87	227	30
88	228	28
89	229	25
90	230	22
91	232	20
92	233	17
93	234	14
94	235	12
95	235	9
96	236	7
97	237	4
98	238	2
99	239	0
